Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,493.164673,507.393738,492.712463,504.225983,504.225983,12465
2021-11-30,504.318848,510.059814,482.702087,492.982941,492.982941,1805
2021-12-01,493.105164,547.726868,491.380157,523.117859,523.117859,5123
2021-12-02,523.257019,532.111206,504.250153,516.804993,516.804993,165087
2021-12-03,516.753052,540.532593,516.753052,535.271057,535.271057,109288
2021-12-04,535.270203,553.215698,517.784729,550.408936,550.408936,111653
2021-12-05,550.420044,557.379700,526.766541,539.843933,539.843933,74772
2021-12-06,539.814331,557.756348,538.878845,547.956299,547.956299,69523
2021-12-07,547.952637,563.346313,547.952637,551.221680,551.221680,127810
2021-12-08,551.213684,564.419189,549.504761,564.216003,564.216003,109969
2021-12-09,564.203369,564.203369,556.723206,560.900757,560.900757,78655
2021-12-10,560.900330,572.163696,559.882507,567.545532,567.545532,120189
2021-12-11,567.529053,588.864624,561.155090,564.466125,564.466125,83049
2021-12-12,564.457397,579.693848,564.295166,570.197754,570.197754,56580
2021-12-13,570.197021,579.296631,568.285217,571.669800,571.669800,110766
2021-12-14,571.696472,578.932739,565.044434,573.766113,573.766113,90680
2021-12-15,572.641846,583.040161,546.250916,575.722107,575.722107,130
2021-12-16,575.369568,576.373352,557.024475,558.948547,558.948547,39940
2021-12-17,558.960022,569.146545,536.458191,561.499695,561.499695,126048
2021-12-18,561.465271,566.589172,550.857361,556.110046,556.110046,81752
2021-12-19,556.110046,560.968628,550.429016,550.489502,550.489502,69163
2021-12-20,550.490601,556.267090,549.181763,551.925720,551.925720,64439
2021-12-21,551.904419,560.712524,550.958191,554.917236,554.917236,64351
2021-12-22,554.906250,561.538147,553.024292,560.341125,560.341125,55730
2021-12-23,561.233643,563.706543,555.791016,558.831543,558.831543,91509
2021-12-24,558.192078,561.257446,549.835693,552.214111,552.214111,88124
2021-12-25,552.210083,556.855408,542.993713,543.495300,543.495300,61390
2021-12-26,543.490356,550.037720,530.013794,536.351929,536.351929,60826
2021-12-27,536.349854,541.802551,534.847473,536.515503,536.515503,84244
2021-12-28,536.132263,541.435181,534.955627,538.831055,538.831055,84622
2021-12-29,538.830444,548.106750,534.820313,545.256409,545.256409,85021
2021-12-30,545.245850,566.674988,540.018433,560.711426,560.711426,105231
2021-12-31,560.699280,576.735657,541.222046,557.365845,557.365845,153047
2022-01-01,557.365845,558.208130,546.271606,551.825684,551.825684,33420
2022-01-02,551.825684,556.100891,547.746765,548.167725,548.167725,51809
2022-01-03,548.167725,552.547546,541.760498,546.757874,546.757874,68468
2022-01-04,546.757874,550.455627,524.408081,534.832825,534.832825,110992
2022-01-05,534.856201,548.654297,534.832825,539.021118,539.021118,94469
2022-01-06,539.021118,543.394409,535.402832,538.897705,538.897705,67568
2022-01-07,538.897705,543.727600,538.735596,541.248352,541.248352,86859
2022-01-08,541.248352,543.692688,537.756531,537.896118,537.896118,73863
2022-01-09,537.896118,540.200806,525.185486,529.669495,529.669495,91227
2022-01-10,529.669495,535.740417,517.993042,533.234497,533.234497,106765
2022-01-11,533.234497,538.732483,528.101318,531.111511,531.111511,107655
2022-01-12,532.179321,538.459351,530.203003,530.485474,530.485474,99642
2022-01-13,530.485474,540.250977,528.986328,533.165955,533.165955,79072
2022-01-14,533.164612,542.469971,532.762573,536.935547,536.935547,118030
2022-01-15,536.935791,540.886719,536.522827,538.705811,538.705811,74683
2022-01-16,538.705383,538.705383,531.246094,531.423584,531.423584,89718
2022-01-17,531.424316,537.544312,530.806396,533.672668,533.672668,120743
2022-01-18,533.674622,535.898743,530.976013,532.347473,532.347473,116672
2022-01-19,532.348145,535.290100,531.802734,532.299377,532.299377,110330
2022-01-20,532.296753,535.329590,529.681946,531.533752,531.533752,94790
2022-01-21,531.537231,534.455933,475.819702,529.180237,529.180237,154672
2022-01-22,529.191528,529.610229,509.736969,520.109863,520.109863,96038
2022-01-23,520.126099,520.883301,497.113342,507.919830,507.919830,48417
2022-01-24,507.922424,510.686035,489.196198,497.781067,497.781067,97074
2022-01-25,497.782349,497.928406,453.173431,482.538910,482.538910,135331
2022-01-26,482.694305,482.815460,453.308624,474.555756,474.555756,130241
2022-01-27,474.553589,486.992188,469.337280,476.785034,476.785034,103375
2022-01-28,476.785187,481.855438,473.414368,479.436035,479.436035,69943
2022-01-29,479.435852,486.309204,472.899689,483.488098,483.488098,110566
2022-01-30,483.490448,486.514038,477.599243,481.217194,481.217194,97416
2022-01-31,481.217194,485.421478,478.883911,482.308411,482.308411,109350
2022-02-01,482.307861,487.696289,456.510895,473.174164,473.174164,77972
2022-02-02,473.173920,478.409637,462.418549,470.032806,470.032806,120119
2022-02-03,470.063110,474.204010,465.725189,466.997803,466.997803,72152
2022-02-04,467.095490,471.362610,461.190674,465.881470,465.881470,3223
2022-02-05,465.881866,472.220123,462.943176,466.607208,466.607208,72397
2022-02-06,466.607086,467.113159,431.574432,432.637360,432.637360,95064
2022-02-07,432.637177,463.952484,431.187256,455.734772,455.734772,90762
2022-02-08,455.738800,463.814545,454.040253,459.563232,459.563232,87822
2022-02-09,459.482605,463.239410,454.773529,460.554321,460.554321,65677
2022-02-10,460.554993,464.097687,440.787323,457.797943,457.797943,136711
2022-02-11,457.982391,469.555481,453.039551,460.398468,460.398468,159353
